My metrics,Thu, 19 Jan 2023 08:57:32 EET
Method,CogC,v(G)
"call(CellDataFeatures<Friendship, String>)",2,n/a
config.ApplicationContext.getPROPERTIES(),0,1
config.Config.getProperties(),1,2
"domain.Confidential.Confidential(Long, String, String, Long)",0,1
"domain.Confidential.Confidential(String, String)",0,1
"domain.Confidential.Confidential(String, String, Long)",0,1
domain.Confidential.getPassword(),0,1
domain.Confidential.getUserId(),0,1
domain.Confidential.getUsername(),0,1
domain.Confidential.setPassword(String),0,1
domain.Confidential.setUserId(Long),0,1
domain.Confidential.setUsername(String),0,1
domain.Entity.getId(),0,1
domain.Entity.isDeleted(),0,1
domain.Entity.setDeleted(boolean),0,1
domain.Entity.setId(ID),0,1
"domain.Friendship.Friendship(Long, Long, LocalDateTime)",0,1
"domain.Friendship.Friendship(Long, Long, Long, LocalDateTime)",0,1
domain.Friendship.getDate(),0,1
domain.Friendship.getId1(),0,1
domain.Friendship.getId2(),0,1
domain.Friendship.setDate(LocalDateTime),0,1
domain.Friendship.setId1(Long),0,1
domain.Friendship.setId2(Long),0,1
domain.Friendship.toString(),0,1
"domain.Message.Message(String, Long, Long)",0,1
domain.Message.getFrom(),0,1
domain.Message.getText(),0,1
domain.Message.getTo(),0,1
domain.Message.setFrom(Long),0,1
domain.Message.setText(String),0,1
domain.Message.setTo(Long),0,1
"domain.User.User(Long, String, String)",0,1
"domain.User.User(String, String)",0,1
"domain.User.User(String, String, List<User>)",0,1
domain.User.equals(Object),9,10
domain.User.getFirstName(),0,1
domain.User.getFriends(),0,1
domain.User.getLastName(),0,1
domain.User.hashCode(),0,1
domain.User.setFirstName(String),0,1
domain.User.setLastName(String),0,1
domain.User.toString(),0,1
domain.factory.EntityFactory.EntityFactory(),0,1
"domain.factory.EntityFactory.createEntity(Class<E>, List<String>)",14,15
domain.factory.EntityFactory.getInstance(),1,2
domain.validators.ConfidentialValidator.validate(Confidential),2,3
domain.validators.FriendshipValidator.validate(Friendship),3,4
domain.validators.MessageValidator.validate(Message),1,2
domain.validators.UserValidator.validate(User),15,16
domain.validators.ValidatorException.ValidatorException(),0,1
domain.validators.ValidatorException.ValidatorException(String),0,1
"domain.validators.ValidatorException.ValidatorException(String, Throwable)",0,1
"domain.validators.ValidatorException.ValidatorException(String, Throwable, boolean, boolean)",0,1
domain.validators.ValidatorException.ValidatorException(Throwable),0,1
main.HelloApplication.main(String[]),0,1
main.HelloApplication.start(Stage),0,1
main.HelloController.onHelloButtonClick(),0,1
main.Main.createMasterServiceDB(),0,1
main.Main.main(String[]),0,1
main.Main.runApplication(),0,1
main.Main.start(Stage),0,1
repository.RepositoryException.RepositoryException(String),0,1
"repository.database.AbstractDBRepository.AbstractDBRepository(String, String, String, Validator<E>)",0,1
repository.database.AbstractDBRepository.delete(ID),2,3
repository.database.AbstractDBRepository.findAll(),2,3
repository.database.AbstractDBRepository.findOne(ID),2,3
repository.database.AbstractDBRepository.findTrueAll(),2,3
repository.database.AbstractDBRepository.save(E),3,4
repository.database.AbstractDBRepository.update(E),2,3
"repository.database.ConfidentialDBRepository.ConfidentialDBRepository(String, String, String, Validator<Confidential>)",0,1
"repository.database.ConfidentialDBRepository.createEntity(PreparedStatement, Confidential)",1,2
repository.database.ConfidentialDBRepository.extractEntity(ResultSet),1,2
repository.database.ConfidentialDBRepository.getEntityClass(),0,1
repository.database.ConfidentialDBRepository.getInsertQuery(),0,1
repository.database.ConfidentialDBRepository.getUpdateQuery(),0,1
"repository.database.FriendshipDBRepository.FriendshipDBRepository(String, String, String, Validator<Friendship>)",0,1
"repository.database.FriendshipDBRepository.createEntity(PreparedStatement, Friendship)",1,2
repository.database.FriendshipDBRepository.extractEntity(ResultSet),1,2
repository.database.FriendshipDBRepository.getEntityClass(),0,1
repository.database.FriendshipDBRepository.getInsertQuery(),0,1
repository.database.FriendshipDBRepository.getUpdateQuery(),0,1
"repository.database.MessageDBRepository.MessageDBRepository(String, String, String, Validator<Message>)",0,1
"repository.database.MessageDBRepository.createEntity(PreparedStatement, Message)",1,2
repository.database.MessageDBRepository.extractEntity(ResultSet),1,2
repository.database.MessageDBRepository.getEntityClass(),0,1
repository.database.MessageDBRepository.getInsertQuery(),0,1
repository.database.MessageDBRepository.getUpdateQuery(),0,1
"repository.database.UserDBRepository.UserDBRepository(String, String, String, Validator<User>)",0,1
"repository.database.UserDBRepository.createEntity(PreparedStatement, User)",1,2
repository.database.UserDBRepository.extractEntity(ResultSet),1,2
repository.database.UserDBRepository.getEntityClass(),0,1
repository.database.UserDBRepository.getInsertQuery(),0,1
repository.database.UserDBRepository.getUpdateQuery(),0,1
"repository.file.AbstractFileRepository.AbstractFileRepository(Validator<E>, String)",0,1
repository.file.AbstractFileRepository.delete(ID),1,2
repository.file.AbstractFileRepository.loadData(),3,4
repository.file.AbstractFileRepository.save(E),1,2
repository.file.AbstractFileRepository.saveToFile(Iterable<E>),3,3
repository.file.AbstractFileRepository.update(E),1,2
repository.file.AbstractFileRepository.writeToFile(E),1,2
"repository.file.FriendshipFileRepository.FriendshipFileRepository(Validator<Friendship>, String)",0,1
repository.file.FriendshipFileRepository.createEntityAsString(Friendship),0,1
repository.file.FriendshipFileRepository.extractEntity(List<String>),0,1
repository.file.FriendshipFileRepository.getEntityClass(),0,1
"repository.file.UserFileRepository.UserFileRepository(Validator<User>, String)",0,1
repository.file.UserFileRepository.createEntityAsString(User),0,1
repository.file.UserFileRepository.extractEntity(List<String>),0,1
repository.file.UserFileRepository.getEntityClass(),0,1
repository.memory.FriendshipInMemoryRepository.FriendshipInMemoryRepository(Validator<Friendship>),0,1
repository.memory.FriendshipInMemoryRepository.getEntityClass(),0,1
repository.memory.InMemoryRepository.InMemoryRepository(Validator<E>),0,1
repository.memory.InMemoryRepository.delete(ID),1,2
repository.memory.InMemoryRepository.findAll(),2,2
repository.memory.InMemoryRepository.findOne(ID),3,4
repository.memory.InMemoryRepository.findTrueAll(),0,1
repository.memory.InMemoryRepository.save(E),5,4
repository.memory.InMemoryRepository.update(E),2,3
repository.memory.UserInMemoryRepository.UserInMemoryRepository(Validator<User>),0,1
repository.memory.UserInMemoryRepository.getEntityClass(),0,1
"service.BasicService.BasicService(Repository<ID, E>)",0,1
service.BasicService.createEntity(List<String>),0,1
service.BasicService.delete(ID),0,1
service.BasicService.findAll(),0,1
service.BasicService.findOne(ID),0,1
service.BasicService.findTrueAll(),0,1
service.BasicService.save(List<String>),2,2
service.BasicService.update(List<String>),0,1
service.ConfidentialService.ConfidentialService(Repository),0,1
service.ConfidentialService.getNextId(),3,3
service.FriendshipService.FriendshipService(Repository),0,1
service.FriendshipService.getCommunities(),0,1
service.FriendshipService.getGraph(),1,2
service.FriendshipService.getNextId(),3,3
service.FriendshipService.getNumberOfConnectedComponents(),0,1
"service.MasterService.MasterService(UserService, FriendshipService, ConfidentialService, MessageService)",0,1
"service.MasterService.acceptFriendRequest(User, User)",0,1
"service.MasterService.addFriendship(List<String>, List<String>)",3,4
"service.MasterService.addUser(String, String)",4,5
service.MasterService.denyFriendRequest(Friendship),0,1
service.MasterService.findFriendRequests(User),1,2
